domain_id,cath_class,architecture,topology,homology,n_residues,pdb_id
12asA00,3,30,930,10,327,12as
153lA00,1,10,530,10,185,153l
16pkA02,3,40,50,1260,208,16pk
1a02F00,1,20,5,170,53,1a02
1a05A00,3,40,718,10,357,1a05
1a0aA00,4,10,280,10,63,1a0a
1a0hA01,2,40,20,10,89,1a0h
1a0rP01,3,40,30,10,129,1a0r
1a0sP00,2,40,170,10,413,1a0s
1a15A00,2,40,50,40,67,1a15
1a1zA00,1,10,533,10,83,1a1z
1a2nA02,3,65,10,10,208,1a2n
1a39A00,2,70,100,10,401,1a39
1a3dA00,1,20,90,10,119,1a3d
1a3oA00,1,10,490,10,141,1a3o
1a48A01,3,30,200,20,111,1a48
1a5cA00,3,20,20,70,342,1a5c
1a66A00,2,60,40,340,178,1a66
1a6aB01,3,10,320,10,89,1a6a
1a6cA02,2,60,120,20,165,1a6c
1a6sA00,1,10,150,90,87,1a6s
1a6tB01,2,60,40,10,117,1a6t
1a75A00,1,10,238,10,106,1a75
1a7gE00,3,30,70,330,82,1a7g
1a7mA00,1,20,1250,10,180,1a7m
1a87A01,3,30,1120,60,97,1a87
1a87A02,1,10,490,30,200,1a87
1a91A00,1,20,20,10,79,1a91
1a92A00,4,10,220,40,50,1a92
1a94A00,2,40,70,10,99,1a94
1a9nC00,3,80,10,10,174,1a9n
1a9vA00,2,60,40,770,129,1a9v
1a9xB01,3,50,30,20,150,1a9x
1aa7A02,1,10,10,180,78,1aa7
1aabA00,1,10,30,10,83,1aab
1aamA02,3,40,640,10,271,1aam
1ac5A00,3,40,50,1820,483,1ac5
1acoA01,3,30,499,10,201,1aco
1ad1A00,3,20,20,20,264,1ad1
1ad3A02,3,40,309,10,195,1ad3
1adnA00,3,40,10,10,92,1adn
1aepA00,1,20,120,20,153,1aep
1af7A01,1,10,155,10,80,1af7
1afsA00,3,20,20,100,319,1afs
1ahpA01,3,40,50,2000,467,1ahp
1ahsA00,2,60,120,170,126,1ahs
1aihA00,1,10,443,10,170,1aih
1ajoA00,2,60,120,200,212,1ajo
1ak0A00,1,10,575,10,264,1ak0
1ak2A00,3,40,50,300,220,1ak2
1am4A00,1,10,555,10,199,1am4
1ameA00,3,90,1210,10,66,1ame
1amiA02,3,40,1060,10,113,1ami
1aocA00,2,10,90,10,175,1aoc
1aorA01,3,60,9,10,211,1aor
1ap8A00,3,30,760,10,213,1ap8
1aq3A00,3,30,380,10,129,1aq3
1aq6A02,1,10,150,240,75,1aq6
1aqiA02,3,90,220,10,169,1aqi
1atgA02,3,40,190,10,109,1atg
1au7A01,1,10,260,40,72,1au7
1augA00,3,40,630,20,210,1aug
1auqA00,3,40,50,410,208,1auq
1avbA00,2,60,120,200,226,1avb
1avyB00,1,20,5,320,54,1avy
1aw8B00,2,40,40,20,91,1aw8
1awcA00,1,10,10,10,110,1awc
1axiB02,2,60,40,10,101,1axi
1ay0A01,3,40,50,970,329,1ay0
1ayaA00,3,30,505,10,101,1aya
1ayeA02,3,40,630,10,302,1aye
1ayrB02,2,60,40,640,177,1ayr
1aznA00,2,60,40,420,128,1azn
1b06A01,1,10,287,990,67,1b06
1b1yA00,3,20,20,80,500,1b1y
1b20B00,3,10,450,30,108,1b20
1b22A00,1,10,150,20,70,1b22
1b2rA02,3,40,50,80,167,1b2r
1b33N01,3,30,1490,170,55,1b33
1b35A00,2,60,120,20,260,1b35
1b35D00,4,10,690,10,57,1b35
1b3qA04,2,40,50,180,63,1b3q
1b3tA00,3,30,70,390,147,1b3t
1b43A02,1,10,150,20,61,1b43
1b4aA01,1,10,10,10,59,1b4a
1b4rA00,2,60,40,10,80,1b4r
1b4uB00,3,40,830,10,298,1b4u
1b5eA00,3,30,572,10,241,1b5e
1b5fB00,2,40,70,10,87,1b5f
1b5fC00,2,40,70,10,238,1b5f
1b5tA00,3,20,20,220,275,1b5t
1b63A02,3,30,230,10,114,1b63
1b69A00,3,30,160,60,69,1b69
1b6fA00,3,30,530,20,159,1b6f
1b97A00,3,40,600,10,244,1b97
1b9iA02,3,90,1150,10,139,1b9i
1b9nA03,2,40,50,100,71,1b9n
1b9vA00,2,120,10,10,390,1b9v
1ba5A00,1,10,10,60,53,1ba5
1bagA01,3,20,20,80,347,1bag
1balA00,4,10,320,10,51,1bal
1bbyA00,1,10,10,10,69,1bby
1bcpD00,2,40,50,110,110,1bcp
1bctA00,4,10,290,10,69,1bct
1bd3A00,3,40,50,2020,224,1bd3
1bdhA01,1,10,260,40,57,1bdh
1bdyA00,2,60,40,150,123,1bdy
1bebA00,2,40,128,20,156,1beb
1beoA00,1,10,239,10,98,1beo
1bf2A01,2,60,40,10,162,1bf2
1bf2A02,3,20,20,80,474,1bf2
1bf2A03,2,60,40,1180,114,1bf2
1bf6A00,3,20,20,140,291,1bf6
1bg6A01,3,40,50,720,192,1bg6
1bgqA00,3,30,565,10,214,1bgq
1bh3A00,2,40,160,10,289,1bh3
1bho100,3,40,50,410,189,1bho
1bhuA00,2,60,20,30,102,1bhu
1bifA01,3,40,50,300,206,1bif
1bihA02,2,60,40,10,106,1bih
1bikA00,4,10,410,10,110,1bik
1birA00,3,10,450,30,104,1bir
1bj4A01,3,40,640,10,263,1bj4
1bjaA00,1,10,10,10,95,1bja
1bkcE00,3,40,390,10,256,1bkc
1bl0A01,1,10,10,60,56,1bl0
1bl0A02,1,10,10,60,60,1bl0
1bmlC03,3,10,20,150,83,1bml
1bo7A00,3,30,572,10,316,1bo7
1bp1A01,3,15,10,10,180,1bp1
1bplA01,3,30,750,90,104,1bpl
1bprA00,2,60,34,10,173,1bpr
1bq5A02,2,60,40,420,167,1bq5
1bqbA02,1,10,390,10,144,1bqb
1br2A02,1,10,10,820,56,1br2
1bt7A01,2,40,10,120,73,1bt7
1bt9A00,2,40,160,10,340,1bt9
1bu6O01,3,30,420,40,251,1bu6
1bv8A00,2,60,40,690,138,1bv8
1bvnP01,3,20,20,80,403,1bvn
1bvoA00,2,60,40,340,175,1bvo
1bw3A00,2,40,40,10,125,1bw3
1bw5A00,1,10,10,60,66,1bw5
1bwdA00,3,75,10,10,348,1bwd
1bwuD00,2,90,10,10,109,1bwu
1bwvS00,3,30,190,10,138,1bwv
1bxrA05,3,40,50,20,140,1bxr
1bxrC02,3,30,470,20,285,1bxr
1by1A00,1,20,900,10,209,1by1
1byfA00,3,10,100,10,123,1byf
1bymA00,2,30,30,90,97,1bym
1byuB00,3,40,50,300,215,1byu
1c01A00,2,60,20,30,76,1c01
1c07A00,1,10,238,10,95,1c07
1c16A01,3,30,500,10,163,1c16
1c1dA02,3,40,50,720,202,1c1d
1c30A08,3,40,50,1380,137,1c30
1c3fA00,3,20,20,80,265,1c3f
1c3gA01,2,60,260,20,78,1c3g
1c3qA00,3,40,1190,20,284,1c3q
1c3yA00,1,10,238,20,108,1c3y
1c4kA02,3,40,640,10,313,1c4k
1c5eA00,2,40,300,10,95,1c5e
1c5kA02,2,120,10,30,266,1c5k
1c6rA00,1,10,760,10,88,1c6r
1c7kA00,3,40,390,10,132,1c7k
1c7sA01,2,60,40,290,142,1c7s
1c7sA02,3,30,379,10,127,1c7s
1c7sA04,2,60,40,10,66,1c7s
1c7tA03,3,20,20,80,484,1c7t
1c80A00,3,40,50,1240,191,1c80
1c8jA00,1,10,630,10,405,1c8j
1c8uA01,3,10,129,10,156,1c8u
1c8zA00,3,20,90,10,265,1c8z
1c9bA02,1,10,472,10,106,1c9b
1c9kB00,3,40,50,300,180,1c9k
1ca1A01,1,10,575,10,250,1ca1
1cb5A01,3,90,70,10,401,1cb5
1cb8A01,1,50,10,100,312,1cb8
1cb8A03,2,60,220,10,110,1cb8
1cbfA02,3,30,950,10,121,1cbf
1ccdA00,1,10,210,10,77,1ccd
1ccwB01,3,20,20,240,417,1ccw
1ccwB02,3,90,970,10,66,1ccw
1cczA01,2,60,40,10,93,1ccz
1cd9D01,2,60,40,10,107,1cd9
1ce3A00,3,30,60,30,54,1ce3
1ceeB00,3,90,810,10,59,1cee
1ceuA00,6,10,210,10,51,1ceu
1cf7A00,1,10,10,10,67,1cf7
1cf7B00,1,10,10,10,82,1cf7
1cfbA02,2,60,40,10,106,1cfb
1cfeA00,3,40,33,10,135,1cfe
1cgtA02,2,60,40,1180,94,1cgt
1chpD00,2,40,50,110,103,1chp
1chzA00,3,30,30,10,64,1chz
1ci0B00,2,30,110,10,204,1ci0
1ciaA00,3,30,559,10,213,1cia
1cjaA02,1,10,1070,11,177,1cja
1cjxB02,3,10,180,10,202,1cjx
1cjyA01,2,60,40,150,126,1cjy
1ckmA02,2,40,50,140,83,1ckm
1cliA02,3,90,650,10,175,1cli
1cm3A00,3,30,1340,10,85,1cm3
1cmwA01,3,40,50,1010,151,1cmw
1cneA02,3,40,50,80,153,1cne
1cp2A00,3,40,50,300,269,1cp2
1cpoA00,1,10,489,10,298,1cpo
1cprA00,1,20,120,10,129,1cpr
1cpyA02,1,10,287,410,72,1cpy
1cq3A00,2,60,240,10,224,1cq3
1cqzB02,1,10,150,240,80,1cqz
1crkA02,3,30,590,10,279,1crk
1ctfA00,3,30,1390,10,68,1ctf
1cttA02,3,40,140,10,115,1ctt
1cukA01,2,40,50,140,66,1cuk
1cv8A00,3,90,70,10,173,1cv8
1cxzB00,1,10,287,160,86,1cxz
1cygA03,2,60,40,10,84,1cyg
1cywA00,2,60,40,420,159,1cyw
1cz3B00,3,40,430,10,168,1cz3
1cz4A02,3,10,330,10,81,1cz4
1d09A02,3,40,50,1370,158,1d09
1d0bA00,3,80,10,10,207,1d0b
1d0dA00,4,10,410,10,60,1d0d
1d1lA00,3,30,240,10,61,1d1l
1d1rA00,3,30,780,10,83,1d1r
1d2dA00,1,10,287,10,56,1d2d
1d2fA02,3,40,640,10,243,1d2f
1d2nA02,1,10,8,60,67,1d2n
1d3yA01,1,10,10,10,71,1d3y
1d4aA00,3,40,50,360,273,1d4a
1d7bA00,2,60,40,1210,185,1d7b
