protein,timestep,rho_pocket_mean,rho_pocket_sd,rho_all_mean,rho_all_sd
P79345,0.1,0.15785714285714283,0.12838279813566478,0.23445629463737044,0.061509826076385096
P79345,0.3,0.25071428571428567,0.1068269151287182,0.27254612243783194,0.041138359888509446
P79345,0.5,0.27999999999999997,0.019496205805651687,0.33014406860669954,0.03558081355536774
P79345,0.7,0.32999999999999996,0.08016246258794237,0.29497767277990955,0.029286314620250442
P79345,0.9,0.36357142857142855,0.12078083541722022,0.2785481161834792,0.0768780251194052
P62593,0.1,0.555,0.10848595302213901,0.5170367800138791,0.036726988689018976
P62593,0.3,0.5485483870967742,0.0786164175157943,0.5137729132969024,0.0254756991956059
P62593,0.5,0.5166129032258064,0.09033941015445668,0.4543625967391677,0.06893230471505112
P62593,0.7,0.420483870967742,0.06797279690160199,0.3429102360791908,0.0429988436155637
P62593,0.9,0.3790322580645162,0.15662532964554768,0.33643448386866953,0.04452527866431979
O74933,0.1,0.38921701652166973,0.18559664604599235,0.28567506803414944,0.03836414362483932
O74933,0.3,0.42170165216697264,0.13443299735265435,0.29743169458200774,0.02273404470716437
O74933,0.5,0.26370021550003997,0.07288556120180663,0.18685484746027542,0.0361739059381278
O74933,0.7,0.028438023784819234,0.2077342319381903,0.11051449908095948,0.0518170770601663
O74933,0.9,0.145103360204326,0.10614017122890743,0.0724857529763584,0.054509292854759
P26281,0.1,0.12074303405572755,0.2388297359083776,0.21238349212530747,0.11078861019512017
P26281,0.3,0.304437564499484,0.26605779934335355,0.194884378246894,0.11968092048316357
P26281,0.5,0.2701754385964913,0.23712286993268775,0.11111280137641684,0.10458361730349756
P26281,0.7,0.37543859649122807,0.2721117819626908,0.04388925990212349,0.08709650292423102
P26281,0.9,0.3898864809081527,0.27893039711934886,0.10331736539699007,0.08774095778091268
P12758,0.1,0.5098288621646624,0.0487372267425789,0.39951256092988385,0.037121073821746
P12758,0.3,0.4945189639222942,0.07915822118789755,0.39238089309982505,0.052111867244359844
P12758,0.5,0.38115171137835335,0.062402094662141964,0.35981836262562045,0.032637473125481244
P12758,0.7,0.3685938945420907,0.11790877605368033,0.3337681604028746,0.039892384689032556
P12758,0.9,0.35617483811285855,0.10353994265348533,0.2996306785762452,0.10354809647620386
P0AG16,0.1,0.3688030888030888,0.04888145422348585,0.2119609861693937,0.06595242456628254
P0AG16,0.3,0.34996138996139,0.05495709489201134,0.20368825571814958,0.0534526718697337
P0AG16,0.5,0.09168597168597167,0.09515760625374621,0.1608439165655625,0.04077230320142132
P0AG16,0.7,0.14584298584298586,0.11622364153460431,0.19268340040080276,0.04232197856783825
P0AG16,0.9,0.054002574002574,0.1648502862431806,0.13079872474238968,0.04009681765007105
P9WPY3,0.1,0.4447735191637632,0.11065550132630797,0.5819776085982984,0.039280135993058116
P9WPY3,0.3,0.4721254355400698,0.0956070672664647,0.586435736677116,0.02484013323739689
P9WPY3,0.5,0.35745644599303145,0.17317180083658223,0.5048898343036274,0.03457423079407936
P9WPY3,0.7,0.17494773519163764,0.09464368091731461,0.4200268696820421,0.017717430378177575
P9WPY3,0.9,0.15836236933797912,0.07754991218119718,0.4368768472906404,0.0240790358188752
Q02763,0.1,0.07932906571590634,0.06041142452597889,0.16500460146798052,0.08595576480306838
Q02763,0.3,0.1237014828620047,0.1333633754176073,0.13954425265426137,0.08256079131354899
Q02763,0.5,0.14580666072441456,0.038118107200965014,0.07555439833000381,0.08234975225992883
Q02763,0.7,0.06506766064338385,0.24938506806137023,0.034392583780386524,0.087121988685358
Q02763,0.9,0.030224455068470962,0.25624552650890986,0.0032408700141410957,0.06850455733541691
P61586,0.1,0.613655761024182,0.10457914595914734,0.7448883905060915,0.053466834619600376
P61586,0.3,0.5105263157894736,0.07156996116403191,0.7295004197125528,0.04316004303480481
P61586,0.5,0.500094831673779,0.07830840663422219,0.6811708118379154,0.030512694551855946
P61586,0.7,0.4543385490753912,0.11781005951425726,0.5693708780131266,0.01830687693548123
P61586,0.9,0.471977240398293,0.1329025393328921,0.5748610799326332,0.03784843460503704
